Spiller_Navn,N11_Sessions,N11_Total_Load,N11_Avg_Load_Min,N11_Load_SD,N11_Load_CV,N11_High_Sec,N11_VHigh_Sec,N11_Explosive_Sec,N11_Total_TOI,N11_Explosive_Acts,N11_Avg_Shifts,N11_High_Int_Pct,N11_Explosive_Rate,N11_Load_Per_Session,N11_ACWR_Latest,N11_ACWR_Max,N11_ACWR_Mean,N11_N_Spikes,N11_Max_Spike
Alexander Bexelius,86,1205.5000000000005,1.31042869007093,0.8172579696866332,0.6231814019887204,1503.0519999999992,293.8210000000001,134.46899999999997,0,144,15.744186046511626,NA,NA,14.017278868850367,1.2839764984966755,1.9538725694927828,1.0106529877255621,24,3.8355582524271874
Alexander Lou,206,5443.519999999996,2.326165993139509,2.8357635672173234,1.2185480432324818,8224.47,1896.5500000000002,1647.5499999999997,0,1535,20.436893203883493,NA,NA,26.424726093562633,0.42465947117877173,2.1370218136544272,0.9626229690736339,43,4.231964333963801
Bertil Sandum,606,17228.08999999999,2.0901620436956265,1.7265570819412237,0.8256448069848996,25302.529999999955,7098.104999999989,9996.44000000001,0,7982,17.99009900990099,NA,NA,28.429144506362185,0.8624386855927372,1.6544974232384881,0.9726870549917453,129,3.1437869822485385
Carl Hansen,739,15444.999999999987,1.7216962569264844,1.0886927962059847,0.6319702569902573,23020.86600000002,4977.497999999991,4085.1639999999975,0,4346,16.32611637347768,NA,NA,20.899836400762634,1.9503416765195092,2.2960795108805874,1.011847801959585,169,6.3010370370370294
Christoffer Gahrn,140,2804.189999999999,1.8058761206420917,1.2317813319199957,0.6817187508583986,4241.223,838.2819999999996,527.0380000000001,0,549,17.18571428571429,NA,NA,20.029785501532125,1.2982994501981837,1.7276203791274312,1.0600297612191587,32,3.1340531998946535
Elias Kentala,228,6366.969999999999,2.251348144004143,1.3349364908816017,0.5926865677649638,10737.60099999999,3025.5859999999975,3475.832,0,3155,16.39035087719298,NA,NA,27.9251845386643,0.5621798203281588,1.7266567323642705,1.0004349656251603,53,3.0963287849252956
Filip Marklund,151,2913.8000000000006,1.6140944019438133,1.9351102210556252,1.1981406280194296,4227.302000000003,1263.2549999999997,1628.5130000000004,0,1336,15.973509933774835,NA,NA,19.29656094992749,0.499167688001903,2.49775353016688,1.0150856310139815,40,4.323951920257982
Frederik Sørensen,889,12247.389999999996,1.1703439611432227,2.1116791899764142,1.802783179003571,10840.03999999997,2188.7439999999942,3506.8099999999954,0,2003,16.456692913385822,NA,NA,13.776576179329378,1.215634211651401,2.6485007278020376,0.9899560235646879,210,5.444444444444513
Frederik skovby,441,10361.589999999998,1.7898844798590499,1.4705019733872944,0.8211037562305689,18041.03099999998,3963.2670000000044,3042.8379999999993,0,2664,19.013605442176875,NA,NA,23.495615656200325,1.048758745509065,1.7314955887042507,0.989616665091434,93,3.1468408999056927
Hjalte Ellekær,465,7964.729999999993,1.367177064084509,1.5669961362395783,1.1453167703027574,8759.774999999989,2743.1550000000007,3380.575999999998,0,2335,17.35913978494623,NA,NA,17.128414777602615,1.0006330716637153,1.803459466271783,0.9656106134725897,93,3.3436204514048784
Hjalte Gustavsen,101,1796.3500000000001,1.2131051577584664,0.7997561072180638,0.6587206240805437,2492.49,595.9399999999999,381.8000000000001,0,419,16.96039603960396,NA,NA,17.785467470619103,1.0579014475361885,1.7671926819490504,0.9991343709518918,27,3.588805970149252
Jonas Larsen,140,2649.439999999999,1.471247098481051,1.0588052469691023,0.7191763176585605,3505.919999999998,862.3699999999999,634.9499999999999,0,637,15.449999999999998,NA,NA,18.92443625402675,1.2414425988804274,1.9348434004474275,1.0241791177902562,39,3.905627453831608
Jonathan Stenstrup,334,7392.770000000005,1.7291384957429654,1.2554971117096145,0.7256627806379583,11981.529000000004,3556.5989999999997,3346.48,0,3201,15.769461077844312,NA,NA,22.13397564677952,0.272796405115798,1.5928108893881348,0.9986571837083233,82,6.50684237202228
Julius Bønløkke,53,1719.970000000001,1.9461689865536422,0.5202484619279233,0.26718197830827617,2677.5799999999977,457.3299999999999,269.75000000000006,0,302,32.60377358490566,NA,NA,32.451651855625386,0.720685782304436,1.572567061367122,1.163238680010832,2,1.86122351820995
Kyle Jarosz,270,6030.909999999996,1.4691420416828358,0.9757504007501018,0.6637116503607938,8625.424999999997,1670.0540000000005,1328.1430000000003,0,1440,18.222222222222218,NA,NA,22.336620975477857,0.6636389122511893,2.098337010011874,1.0355025809708676,64,3.160519652097326
Lucas Bech,297,6837.650000000005,1.668012589735188,1.0102047417029405,0.6052708936504928,11361.039999999995,2408.6600000000008,1719.7599999999995,0,1869,17.48484848484848,NA,NA,23.022313056185016,0.8495413133753337,1.5959111296547412,1.0042484171180046,69,4.362190812720851
Lukas Jarlgaard,89,2769.7100000000005,3.141342135885385,3.0988624843358283,0.9861632980530601,4383.837999999998,1266.6709999999998,1905.596,0,1299,17.65168539325843,NA,NA,31.119987415871737,1.3818547404338295,1.4728268917518148,0.9023371439987137,10,2.661384869023628
Lukas Nielsen,468,10386.800000000005,1.804073286185128,1.943901704432714,1.0769101284197653,15028.13600000001,4373.246000000002,5951.216999999992,0,4416,16.724358974358974,NA,NA,22.19396967100499,0.891236288029061,1.7111036395730042,0.9679453326015777,107,2.8471228459135425
Magnus Paaske,594,17983.67,2.0218450694432706,1.6583282371162564,0.8197999254449394,30014.12699999995,8163.069999999991,8805.313000000004,0,7623,18.35858585858586,NA,NA,30.27548775170412,1.032804614275412,1.7895904731378942,0.9871639537295439,124,4.8513049807632544
Malthe Kring,120,2750.5900000000006,1.770756130203832,1.0849253065614872,0.6123446043540269,4496.1100000000015,1246.6599999999996,1195.1999999999998,0,1143,15.850000000000001,NA,NA,22.921392321730657,0.9580355858232221,1.6613117068719112,1.0011559394905096,29,2.571939522028937
Marcell Petersen,321,5831.650000000004,1.558685828186895,0.9109387958094434,0.5840527491798733,9748.327,1859.3269999999993,1061.659,0,1188,15.710280373831774,NA,NA,18.16707736112973,0.6266403202107715,1.6871651835126396,0.9911308636692595,80,3.170047055005682
Marius Larsen,314,6923.099999999994,1.6493747810854051,0.9992666918408756,0.6054786484217155,9827.200000000015,2993.809999999999,3261.900000000003,0,3166,16.933121019108277,NA,NA,22.048018955353626,0.9643906240633048,1.9963512729082002,1.0127172726603901,73,4.405013192612136
Mathias K Jørgensen,108,1689.0599999999997,1.4250656627240388,1.217802711343655,0.8539597742066347,2541.4599999999978,583.4900000000001,509.6200000000002,0,540,12.925925925925927,NA,NA,15.639299636114478,1.5334044823906001,1.775515133498077,0.8557476013111022,24,6.639943242284516
Meick Fogdal,369,4644.909999999998,1.0602446316380076,1.0592233230680799,0.9980953415360907,4316.747000000003,696.3650000000009,309.5990000000002,0,353,13.867208672086722,NA,NA,12.587797865046431,0.9902430957499605,3.157519721774535,1.0177282675525419,100,5.276119402985074
Michael dinges,60,2635.8700000000017,2.267677564926649,0.2984865965958061,0.13156854072626087,4926.049999999999,908.0199999999992,665.6600000000004,0,767,35,NA,NA,43.930434492758486,1.0957237183254396,1.3459459459459455,1.1225511282520049,0,1.409879685330865
Nicolai Luplau,1,86.30000000000001,6.20863309352518,NA,NA,285.5210000000003,58.09200000000001,24.90499999999999,0,25,28,NA,NA,86.21378621378624,NA,NA,NA,NA,NA
Noah Alsing,238,5032.399999999997,1.7114124661259718,1.2153146090067042,0.7097090409275851,8021.120000000001,1629.2900000000004,1215.1200000000008,0,1346,15.063025210084035,NA,NA,21.14444897290346,1.0570574452613708,1.9007987632053596,0.9900633118265125,66,6.529590288315621
Noah Faber,403,7346.759999999997,1.5420548920637054,1.9062446420922743,1.2353705962740142,9979.338999999978,2757.3339999999985,3318.4620000000014,0,2477,16.756823821339957,NA,NA,18.230128461219692,0.8070164826856204,1.618360411526467,0.9603630489688332,90,3.372439076989434
Noah Nielsen,92,1977.0999999999976,1.8905714173319563,1.1926962777739956,0.6305319835379425,3496.7900000000004,661.5100000000007,444.0500000000004,0,485,16.956521739130434,NA,NA,21.48998380452384,1.0487417281373779,2.3866111916226456,1.0998379328347907,20,3.327025187202178
Noah Nothlev,11,1486.42,8.995993112556702,4.624997155361625,0.5140603196535433,1009.2350000000002,621.6490000000001,2488.2790000000023,0,1014,19.727272727272727,NA,NA,135.11680756294885,2.219291990150832,2.219291990150832,2.219291990150832,0,1.1142383432337866
Oliver Bøckhaus,740,16101.570000000002,1.930618232828686,1.7414043460983062,0.9015261486469673,23426.454999999987,6892.785999999995,8694.992999999977,0,7395,15.7972972972973,NA,NA,21.758848974528416,0.7592113480239115,2.0336629263415222,0.9864538189302027,160,4.32784958871913
Patrick Tiedjen,34,2435.2100000000005,6.951353329272947,3.6193475479853783,0.520593154082961,3837.828000000001,1664.1959999999992,3227.0109999999995,0,2169,15.088235294117649,NA,NA,71.6217170083233,0.8101868093316962,1.0206908585082612,0.9023980009645536,1,1.8173694936510427
Philip Marklund,102,3168.5899999999992,2.089539442501233,1.080207763802542,0.5167124531791296,4861.31,1364.5200000000004,1716.4400000000005,0,1629,20.137254901960787,NA,NA,31.064303291144196,0.8873034431744974,1.5598099466949815,1.0204691188216795,20,2.5362467614997324
Rasmus Rodies,128,3263.5999999999985,2.7469581296610874,2.474379429498951,0.9004429153380595,5252.368000000001,1785.2640000000008,2502.3709999999996,0,1792,14.4453125,NA,NA,25.496675807220242,1.5787580824119103,1.5787580824119103,0.875113903994189,31,2.980800323362973
Sebastian Niebling,148,3268.7600000000007,1.4959473864645967,0.9442473152942836,0.6307818991049192,5168.410000000003,1423.4500000000019,1371.990000000001,0,1394,18.033783783783786,NA,NA,22.08606698603388,1.2863733798958026,1.5878710549029909,1.0149602275248955,39,2.606166375799884
Simon Willemond,436,12855.509999999995,1.9704349185840524,1.364350571276465,0.6920596558451878,19955.420000000002,6390.860999999992,7049.012999999994,0,6284,19.314220183486253,NA,NA,29.485047052644365,0.7700226742749057,2.1759869815062807,1.0184048407587658,107,4.0048969598041255
Tobias Vogelius,602,13846.320000000002,1.8822505134317915,1.8243509743043416,0.9687245330839608,20062.121000000003,5161.7639999999965,6441.003999999991,0,5100,16.79734219269103,NA,NA,23.000493354662204,0.9194763213188952,1.872872683167191,0.9873970900107366,135,4.150127226463097
Tomass Biezais Klotins,15,1185.1699999999998,5.6252988580876355,3.3263384250009564,0.5912125375671157,1535.4960000000008,739.5469999999993,1666.675,0,1042,16.133333333333333,NA,NA,79.00606626224918,1.1921665246335975,1.1921665246335975,1.1921665246335975,0,1.213577668617819
